label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
common_edit,szerkeszt,Ändern,bewerk,editar,edit,éditer,編輯,редактировать,แก้ไข,düzenle,Ubah,editar,Uredi,Ändern
common_email,E-Mail,Email,Email,Email,Email,Email,Email,Электронная почта,Email,E-Posta,Email,e-mail,e-mail,Email
common_email_invalid_format,Az E-mail cím nem megfelelően formázott,Das Email Format ist nicht korrekt,Je moet een geldig email adres invullen.,El email no está en el formato requerido,The email address is not in the proper format,Le format de l'adresse électronique est incorrect,Email格式錯誤,Это электронная почта не в нужный формат,email address ไม่ถูกต้อง,E-Posta adresi doğru formatta değil,Format alamat email tidak benar,O formato do e-mail não é válido,Neispravan e-mail,Das Email Format ist nicht korrekt
common_fields_required_message,A piros mezők kötelezők,Die Felder in rot sind erforderlich,Velden met een * moeten ingevuld worden,Los campos en rojo son requeridos,Fields in red are required,Les champs en rouge sont requis,紅色欄位為必填,Красные пробела обязательно,ช่องสีแดงต้องกรอก,Kırmızı alanlar zorunludur,Bagian yang ditandai warna merah wajib diisi,Campos em vermelho são obrigatórios,Polja u crvenom su obavezna,Die Felder in rot sind erforderlich
common_first_name,Vezetéknév,Vorname,Voornaam,Nombre,First Name,Prénom,名,Имя,ชื่อ,İsim,Nama Depan,Nome,Ime,Vorname
common_first_name_required,A vezetéknév kötelező mező,Vorname ist erforderlich,De voornaam moet ingevuld worden.,Nombre es un campo requerido,The first name is a required field.,Le prénom est requis.,名為必填,Имя обязательный пробел,ชื่อต้องกรอก,İsim zorunlu alandır,Nama depan wajib diisi.,O nome é requerido.,Ime je obavezno,Vorname ist erforderlich
common_first_page,Első,Erste,Eerste,Primera,First,First,First,First,อันดับแรก,First,First,Primeira,Prva,Erste
common_gender,Neme,Geschlecht,Geslacht,Género,Gender,Gender,Gender,Gender,เพศ,Gender,Gender,Sexo,Spol,Geschlecht
common_gender_female,Nő,F,V,F,F,F,V,V,หญิง,V,V,F,Ž,W
common_gender_male,Ffi,M,M,M,M,M,M,M,ชาย,M,M,M,M,M
common_inv,lelt.,Lag,stock,inv,inv,inv,庫存,инв,ยอด,Stok,Persediaan,inv,lelt.,Lag
common_last_name,Keresztnév,Nachname,Achternaam,Apellidos,Last Name,Nom,姓,Фамилия,นามสกุล,Soy İsim,Nama Belakang,Sobrenome,Prezime,Nachname
common_last_name_required,A keresztnév kötelező mező,Nachname ist erforderlich,De achternaam moet ingevuld worden.,Apellidos es un campo requerido,The last name is a required field,Le nom est requis,姓氏為必填,Фамилия обязательный пробел,นามสกุลต้องกรอก,Soy isim zorunlu alandır.,Nama belakang wajib diisi.,O sobrenome é requerido,Prezime je obavezno,Nachname ist erforderlich
common_last_page,Utolsó,Letzte,Laatste,Ultima,Last,Last,Last,Last,Last,Last,Last,Última,Zadnja,Letzte
common_learn_about_project,a legfrissebb információkért a projekttel kapcsolatban.,für neueste Nachrichten zum Projekt,om de laatste informatie te verkrijgen over het project,para leer la información más reciente acerca del proyecto,to learn the latest information about the project,pour les dernières informations sur le projet,了解系統開展進度,", чтобы узнать самую последнюю информацию о проекте",เพื่อศึกษาข้อมูลล่าสุดของโครงการ, ,Untuk belajar informasi terbaru tentang proyek ini,para saber mais do projeto,za pregled zadnjih informacija o projektu,für neueste Nachrichten zum Projekt
common_list_of,Lista: ,Liste von,Lijst van,Lista de,List of,Liste de,列表,Список,รายการ,Liste,Daftar,Lista de,Lista,Liste von
common_logout,Kilépés,Logout,Logout,Salir,Logout,Déconnion,登出,Выход,ออกจากระบบ,Çıkış,Keluar,Sair,Odjava,Logout
common_new,Új,Neu,Nieuw,Nuevo,New,New,New,New,New,New,New,Novo,Novi,Neu
common_no_persons_to_display,Nincsenek megjeleníthető emberek,Keine Personen zum Anzeigen,Er werden geen personen gevonden,No hay gente que mostrar,There are no people to display,Il n'y a personne à afficher,沒有使用者資料可以顯示,"Там нет людей, чтобы отобразить",ไม่พบข้อมูลตัวบุคคล,Gösterecek kişi yok,Tidak ada orang untuk ditampilkan,Não existem pessoas para mostrar,Nema nijede osoba za prikazati,Keine Personen zum Anzeigen
common_none_selected_text,Nothing selected,Nothing selected,Nothing selected,Nada Seleccionado,Nothing selected,Nothing selected,Nothing selected,Nothing selected,Nothing selected,Nothing selected,Nothing selected,Nada Selecionado,Nothing selected,Nichts ausgewählt
common_or,VAGY,Oder,Of,Ó,OR,OU,或,ИЛИ,หรือ,Yada,ATAU,ou,Ili,Oder
common_phone_number,Telefonszám,Telefon,Telefoon,Teléfono,Phone Number,Téléphone,電話,Номер телефона,โทรศัพท์,Telefon,Telepon,Telefone,Broj telefona,Telefon
common_phone_number_required,Telefonszám kötelező mező,Telefon ist erforderlich,,El numoero de telefono es requerido,,Le numéro de téléphone est requis.,,,ต้องกรอกเบอร์โทร,,Nomer Telepon Wajib Diisi,Número do telefone é requerido,Broj telefona je obavezan,Telefon ist erforderlich
common_please_visit_my,Kérem látogassa meg a ,Bitte beuschen Sie ,Bezoek mijn,"Por favor, visita mi",Please visit my,SVP visitez le,請造訪,"пожалуйста, посетите",เยี่ยมชมที่,ziyaret edin,Silahkan kunjungi,Por favor visite o site da internet,Molim posjetite,Bitte beuschen Sie 
common_powered_by,Powered by,Powered by,Powered by,Potenciado por,Powered by,Animé par,Powered by,самоходные из,จัดทำโดย,Powered by,Diberdayakan oleh,Desenvolvido por,Pokreće,Powered by
common_price,Ár,Preis,Prijs,Precio,Price,Prix,價值,Цена,ราคา,Fiyat,Harga,Preço,Ár,Preis
common_remove,Eltávolít,Annulieren,Verwijder,Eliminar,Remove,Enlever,移除,Снимать,ลบ,Kaldır,Hapus,Remover,Ukloni,Annulieren
common_return_policy,Visszatérítési politika,Rücknahmepolitik,Retourvoorwaarden,Política de Devolución,Return Policy,Politique de Reprise,退貨政策,Возвратний полис,นโยบายคืนสินค้า,İade Politikası,Kebijakan Retur,Política,Povratne obavijesti,Rücknahmeerklärung
common_search,Keres,Suche,Zoek,Buscar,Search,Recherche,搜尋,Пойск,ค้นหา,Arama,Cari,Pesquisar,Traži,Suche
common_search_options,Keresési opciók,Suchkriterien,Zoek criteria,Opciones de búsqueda,Search options,Search options,Search options,Search options,Search options,Search options,Search options,Opções de pesquisa,Opcije pretrage,Suchkriterien
common_searched_for,Keresett ,Gescuht nach,Gezocht op,Buscado,Searched for,Recherché,查找,Искали за,ค้นหาสำหรับ,Ara,Mencari untuk,Pesquisar por,Tražili,Gescuht nach
common_state,Megye,BL/Kanton,Provincie,Estado,State,État,州,Штат,จังหวัด,Bölge,Provinsi,Estado,Država,BL/Kanton
common_submit,Elküld,Senden,Verzend,Enviar,Submit,Envoyer,送出,Подавать,ส่งข้อมูล,Onayla,Kirim,Enviar,Prihvati,Senden
common_view_recent_sales,Eladások megtekintése,Letzte Verkäufe,Bekijk recente verkoop,Ver Ventas Recientes,View Recent Sales,Voir Ventes Récentes,最新的消售資訊,Посмотреть Недавние Продажи,การขายล่าสุด,Yeni satışları göster,Lihat Penjualan Terkini,Ver Vendas Recentes,Pogledaj nedavne prodaje,Letzte Verkäufe
common_website,weboldalt,Website,website,sitio,website,site-web,網站,веб-сайт,website,website,Situs,site da internet,web stranicu,Website
common_welcome,Üdvözlet,Willkommen,Welkom,Bienvenido(a),Welcome,Bienvenue,歡迎,Добро пожаловать,ยินดีต้อนรับ,Hoşgeldiniz,Selamat Datang,Bem-vindo,Dobrodošli,Willkommen
common_welcome_message,"Üdvözli az OSPOS, kattintson a modulokra a kezdéshez!","Willkommen bei OSPOS, zum Beginnen auf ein Modul klicken","Welkom in OSPOS, klik beneden een module aan om te beginnen!","Bienvenido(a) a OSPOS. ¡Haz click en algún módulo debajo, para empezar!","Welcome to OSPOS, click a module below to get started!","Bienvenue à OSPOS, choisissez un module ci-dessous!",歡迎使用OSPOS，請點擊下面的模組以開始使用！,"Добро пожаловать в OSPOS, нажмите модуля ниже, чтобы начать!",OSPOS. กรุณาเลือกคำสั่งเมนูด้านล่าง ,"Hoşgeldiniz, devam etmek için aşağıdan bir modül seçiniz!","Selamat Datang, klik modul di bawah ini untuk memulai",Bem-vindo,Dobrodošli u blagajnu otvorenog koda(OSPOS),"Willkommen bei OSPOS, zum Beginnen auf ein Modul klicken"
common_you_are_using_ospos,Ön az Open Source Point Of Sale alábbi verzióját használja,Sie verwenden Open Source Point Of Sale Version,You are using Open Source Point Of Sale Version,Estás usando Open Source Point Of Sale Versión,You are using Open Source Point Of Sale Version,Vous utilisez Open Source Point Of Sale Version,您正在使用 Open Source Point Of Sale 版本,Вы использоваете Open Source Point Of Sale Версия,คุณกำลังใช้ Open Source Point Of Sale รุ่น,Kullandığınız sürüm,Anda menggunakan Open Source Point Of Sale Versi,Você está usando Open Source Point Of Sale Versão,Koristite blagajnu otvorenog koda (Open Source Point Of Sale) verziju,Sie verwenden Open Source Point Of Sale Version
common_zip,Ir.Szám,PLZ,Postcode,Código Postal,Zip,Zip,郵遞區號,Почтовый индекс,รหัสไปรษณีย์,Şehir Kodu,Kode POS,CEP,Broj pošte,PLZ
common_import,Import,Import,Import,Importar,Import,Import,Import,Import,นำเข้า,Import,Import,Importar,Uvoz,Import
common_download_import_template,Excel sablon (CSV) letöltése,Download Import Excel Voralge (CSV),Download Import Excel Template (CSV),Descargar Plantilla de Importación de Excel (CSV),Download Import Excel Template (CSV),Download Import Excel Template (CSV),Download Import Excel Template (CSV),Download Import Excel Template (CSV),Download Import Excel Template (CSV),Download Import Excel Template (CSV),Download Import Excel Template (CSV),Baixar Modelo de importação Excel(CSV),Preuzmite predložak za uvoz(CSV),Download Import Excel Voralge (CSV)
common_import_excel,Excel Import,Excel Import,Excel Import,Importar Excel,Excel Import,Excel Import,Excel Import,Excel Import,Excel Import,Excel Import,Excel Import,Importar do Excel,Excel uvoz,Excel Import
common_import_full_path,A teljes elérési út kötelező,Voller Dateipfad zum Excel File notwendig,Full path to excel file required,Se requiere la ruta completa del archivo,Full path to excel file required,Full path to excel file required,Full path to excel file required,Full path to excel file required,Full path to excel file required,Full path to excel file required,Full path to excel file required,Caminho completo para o arquivo do Excel é necessário,Potrebna je potpuna putanja do excel datoteke,Voller Dateipfad zum Excel File notwendig
common_import_select_file,Fájl kiválasztása,Select file,Select file,Selecciona archivo,Select file,Select file,Select file,Select file,Select file,Select file,Select file,Selecionar o arquivo,Odaberite datoteku,Datei auswählen
common_import_change_file,Változtat,Change,Change,Cambiar ,Change,Change,Change,Change,Change,Change,Change,Requerido,Promjena,Ändern
common_import_remove_file,Eltávolít,Remove,Remove,Quitar,Remove,Remove,Remove,Remove,Remove,Remove,Remove,Remover,Ukloni,Löschen
common_export_excel,Excel Export,Excel Export,Excel Export,Reporte en Excel,Excel Export,Excel Export,Excel Export,Excel Export,Excel Export,Excel Export,Excel Export,Exportar para Excel,Excel izvoz,Excel Export
common_export_excel_yes,Igen,Yes,Yes,Si,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sim,Da,Ja
common_export_excel_no,Nem,No,No,No,No,No,No,No,No,No,No,Não,Ne,Nein
common_required,Kötelező,Erforderlich,Required,Requerido,Required,Required,Required,Required,ต้องกรอก,Required,Required,Requerido,Potreban,Erforderlich
common_id,ID,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id
