label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
reports_employees_summary_report,Dolgozói összesített riport,Bericht: Mitarbeiter (summarisch),Rapport Overzicht Werknemers,Reporte de Resumen de Empleados,Employees Summary Report,Rapport: Résumé Employés,員工摘要報告,Сводный отчет Сотрудники,รายงานสรุปพนักงาน,Personel Özet Raporu,Laporan Ringkasan Karyawan,Relatório Resumido de Funcionários,Zbrojni izvještaj po radnicima,Bericht: Mitarbeiter (summarisch)
reports_graphical_reports,Grafikus riport,Grafische Berichte,Grafische Rapporten,Reportes Gráficos,Graphical Reports,Rapports Graphiques,圖表,графических отчетов,รายงายแบบกราฟ,Grafik Raporlar,Laporan Dalam Bentuk Grafis,Relatório gráfico,Grafički izvještaji,Grafische Berichte
reports_inventory,Készlet,Lager,,Inventario,Inventory,,,,,,Laporan Persediaan,Inventário,Inventura,Lager
reports_inventory_low,Alacsony készlet,Lager mit Unterbestand,Herbevoorrading,Inventario Bajo,Low Inventory,Niveau d'Inventaire Bas,低庫存,Низкий инвентаризации,สินค้าเหลือน้อย,,Laporan Persediaan Rendah,Inventário de baixas,Mala inventura,Lager mit Unterbestand
reports_inventory_low_report,Alacsony készlet riport,Bericht: Lager mit Unterbestand,Rapport Herbevoorrading,Reporte de Inventario Bajo,Low Inventory Report,Rapport de Niveau d'Inventaire Bas,低庫存報告,отчет Низкии инвентаризации,รายงานสินค้าที่เหลือน้อย,,Laporan Persediaan Rendah,Relatório inventário de baixas,Izvještaj o maloj inventuri,Bericht: Lager mit Unterbestand
reports_inventory_reports,Készlet riportok,Berichte: Lager,Rapporten Bevoorrading,Reportes de Inventario,Inventory Reports,Rapports d'Inventaire,庫存報告,Инвентаризация Отчеты,รายงานสินค้าคงเหลือ,Stok Raporları,Laporan Persediaan,Relatório Inventário,Izvještaji inventura,Berichte: Lager
reports_inventory_summary,Készlet összefoglaló,Lager (summarisch),Overzicht Vooraad,Resumen de Inventario,Inventory Summary,Résumé d'Inventaire,庫存摘要,Сводка инвентаризации,รายงานสินค้าคงเหลือ,Stok Özeti,Laporan Ringkasan Persediaan,Sumário de Inventário,Zbrojne inventure,Lager (summarisch)
reports_inventory_summary_report,Készlet összefoglaló riport,Bericht: Lager (summarisch),Rapport Overzicht Vooraad,Reporte de Resumen de Inventario,Inventory Summary Report,Rapport: Résumé d'Inventaire,庫存報告摘要,Отчет Сводка инвентаризации,รายงานสรุปสินค้าคงเหลือ,Stok Özet Raporu,Laporan Ringkasan Persediaan,Relatório Sumário de Inventário,Izvještaji zbrojnih inventura,Bericht: Lager (summarisch)
reports_item,Termék,Artikel,Product,Artículo,Item,Item,產品,товар,สินค้า,Ürün,Produk/Item,Item,Artikl,Artikel
reports_item_name,Termék neve,Artikelname,Product Naam,Nombre del Artículo,Item Name,Nom d'Item,產品名稱,Название товара,ชื่อสินค้า,Ürün Adı,Nama Barang,Item Nome,Naziv artikla,Artikelname
reports_item_number,Termék száma,Artikelnummer,Productnummer,Número de Artículo,Item Number,Numéro d'Item,產品數量,Номер Товара,เลขสินค้า,Ürün Kodu,Nomor Barang,Item Numero,Broj artikla,Artikelnummer
reports_items,Termékek,Artikel,Producten,Artículos,Items,Items,產品,товары,สินค้า,Ürünler,Produk/Item,Itens,Artikli,Artikel
reports_items_purchased,Megvásárolt termékek,Gekaufte Artikel,Hoeveelheid,Artículos Comprados,Items Purchased,Éléments Achetés,銷售產品,купенный товары,สินค้าที่ถูกซื้อ,Satın Alınan Ürünler,Produk Dibeli,Itens Procurados,Nabavni artikli,Gekaufte Artikel
reports_items_received,Fogadott termékek,Erhaltene Artikel,Items Ontvangen,Artículos Recibidos,Items Received,Éléments Arrivés,進貨產品,полученные Товары,สินค้าเข้า,Alınan Ürünler,Barang Masuk,Itens Recebidos,Artikli primke,Erhaltene Artikel
reports_items_summary_report,Termékek összefoglaló riport,Bericht: Artikel (summarisch),Rapport Overzicht Producten,Reporte de Resumen de Artículos,Items Summary Report,Rapport: Résumé Items,產品摘要報告,Сводный отчет товары,รายงานสรุปสินค้า,Ürün Özet Raporu,Laporan Ringkasan Produk/Item,Relatório Resumo de Itens,Artikli zbrojnog izvještaja,Bericht: Artikel (summarisch)
reports_low_inventory,,Lager mit Unterbestand,,Inventario Bajo,,,,,,Düşük Stok,Kurang Persediaan,Relatório de estoque baixo,Niska inventura,Lager mit Unterbestand
reports_low_inventory_report,,Bericht: Inventar,,Reporte de Inventario Bajo,,,,,,Düşük Stok Raporu,Laporan Persediaan Kurang,Relatório de inventário baixo,Izvještaj niske inventure,Bericht: Inventar
reports_name,Név,Name,Naam,Nombre,Name,Nom,名稱,название,ชื่อ,İsim,Nama,Nome,Naziv,Name
reports_payment_type,Fizetési mód,Zahlungsart,Betaald,Tipo de Pago,Payment Type,Type Paiement,付款方式,Вид оплаты,ชนิดของการจ่าย,Ödeme Türü,Tipe Pembayaran,Tipo pagamento,Tip plaćanja,Zahlungsart
reports_payments,Fizetések,Zahlungen,Betalingen,Pagos,Payments,Paiements,付款,Оплаты,รายจ่าย,Ödemeler,Pembayaran,Pagamentos,Plaćanja,Zahlungen
reports_payments_summary_report,Fizetések összefoglaló riport,Bericht: Zahlungen (summarisch),Overzicht Betalingen,Reporte de Resumen de Pagos,Payments Summary Report,Rapport: Résumé des Paiements,收入報告摘要,Платежей Сводный отчет,รายงานสรุปการจ่าย,Ödeme Özet Raporu,Laporan Ringkasan Pembayaran,Relatório Resumido de Pagamentos,Zbrojni izvještaj plaćanja,Bericht: Zahlungen (summarisch)
reports_profit,Profit,Gewinn,Winst,Ganancia,Profit,Bénéfice,利潤,прибыль,กำไร,Kâr,Keuntungan/Laba,Lucro,RUC,Gewinn
reports_cost,Kiadás,Kosten,Cost,Costo,Cost,Cost,Cost,Cost,Cost,,,Custo,Cijena,Kosten
reports_quantity,Mennyiség,Menge,Stock,Cantidad,Quantity,Quantité,數量,Количество,จำนวน,Adet,Jumlah,Quantidade,Količina,Menge
reports_quantity_purchased,Vásárolt mennyiség,Menge gekauft,Aangekochte Hoeveelheid,Cantidad Comprada,Quantity Purchased,Quantité Achetée,銷售金額,купенный количество,จำนวนการช์้อ,Satın Alınan Adet,Jumlah Dibeli,Quantidade Comprada,Nabavna količina,Menge gekauft
reports_received_by,Átvéve,Erhalten von,Ontvangen door,Recibido por,Received By,Recu par,收款人,получило за,รับโดย,Alım Yapan,Diterima Oleh,Recebido por,Primljeno od,Erhalten von
reports_receiving_id,Átvételi ID,Einangs-ID,,ID de Recepción,Receiving ID,,,,IDรับสินค้า,Alım No,Id Penerima,Recebimento ID,Primka br.,Einangs-ID
reports_receiving_type,Átvételi típus,Eingangstyp,,Tipo de Recepción,Receiving Type,,,,รูปแบบการรับสินค้า,Alım Türü,Type Diterima,Tipo Recebimento,Tip ulaza,Eingangstyp
reports_receivings,Áruátvétel,Eingänge,Orders,Entradas,Receivings,Arrivages,應付款,Получении,รับสินค้า,Alımlar,Barang Masuk,Recebimentos,Primke,Eingänge
reports_reorder_level,Újrarend. szint,Mindestbestand,Reorder Level,Cantidad Mínima,Reorder Level,Seuil de Réapprovisionnement,補貨點,минимальный уровень,ระดับการสั่งใหม่,Düşük Stok,Level Pesan Ulang,Nível de reabastecimento,Poredaj razinu,Mindestbestand
reports_report,Riport,Bericht,Rapport,Reporte,Report,Rapport,報表,Отчет,รายงาน,Rapor,Laporan,Relatório,Izvještaj,Bericht
reports_report_input,Report Input,Berichtsdefinition,Input Rapport,Entrada de Reporte,Report Input,Rapport Entrées,輸入報表,отчет входного,ข้อมูลรายงาน,Rapor Girdisi,Input data Laporan,Relatório Entrada,Ulazni izvještaj,Berichtsdefinition
reports_reports,Riportok,Berichte,Rapporten,Reportes,Reports,Rapports,報表,Отчеты,รายงาน,Raporlar,Lihat dan Cetak Laporan,Relatórios,Izvještaji,Berichte
reports_requisition,,Bedarf,,Requisición,,,,,เบิกสินค้า,,Daftar Permintaan,requisição,Međuskladišnica,Bedarf
reports_requisition_by,,Bedarf durch,,Requisición por,,,,,ผู้เบิกสินค้า,,Daftar Permintaan Oleh,requisição de,Međuskladišnica od,Bedarf durch
reports_requisition_id,,Bedarfs-ID,,ID de Requisición,,,,,IDเบิกสินค้า,,Identitas Peminta,Requisição de ID,Međuskladišnica br.,Bedarfs-ID
reports_requisition_item,,Artikel,,Articulo de Requisición,,,,,ชื่อสินค้า,,Jenis Permintaan,item requisição,Artikal međuskladišnice,Artikel
reports_requisition_item_quantity,,Menge,,Cantidad de Articulo de Requisición,,,,,จำนวนเบิก,,Jumlah Permintaan,Número de item Requisição,količina artikla međuskladišnice,Menge
reports_requisition_related_item,,Artikelverweis,,Articulo de Requisición relacionado,,,,,สินค้าย่อย,,,item relacionado Requisição,Povezani artikal međuskladišnice,Artikelverweis
reports_requisition_related_item_total_quantity,,Gesamtmenge Bedarf,,Cantidad Total de Articulo de Requisición,,,,,จำนวนรวมสินค้าย่อย,,Jumlah Item Barang,Valor total requisição item,Povezani količina artikala međuskladišnice,Gesamtmenge Bedarf
reports_requisition_related_item_unit_quantity,,Bedarfsmenge,,Cantidad Unitaria de Articulo de Requisición,,,,,จำนวนสินค้าย่ิอย,,Unit Item Barang,item montante unitário de Requisição,Povezana jed. cijena artikla međuskladišnice,Bedarfsmenge
reports_requisitions,Átadás,Bedarf,,Requisiciones,Requisitions,,,,,Talepler,Laporan Permintaan,Requisições,Međuskladišnica,Bedarf
reports_returns,Visszáru,Retoure,Retour,Devoluciones,Returns,Reprises,返回,Возвраты,คืน,İadeler,Retur,Devoluções,Povrati,Retoure
reports_revenue,Bevétel,Einkommen,Inkomsten,Ingresos,Revenue,Revenu,收入,доход,รายรับ,Kazanç,Pendapatan,Receita,Promet,Einkommen
reports_sale_id,Értékesítési ID,Verkaufs-ID,Ticket°,ID de Venta,Sale ID,ID Vente,銷售編號,ID Продажа,IDขาย,Satış No,ID Penjualan,Venda ID,Prodaja br.,Verkaufs-ID
reports_sale_type,Értékesítési típus,Verkaufs-Typ,Type,Tipo de Venta,Sale Type,Type Vente,銷售類型,Вид Продажи,ชนิดของการขาย,Satış Türü,Jenis Penjualan,Tipo Venda,Tip prodaje,Verkaufs-Typ
reports_sales,Értékesítés,Verkäufe,Verkoop,Ventas,Sale,Ventes,銷售,Продажа,ขาย,Satış,Penjualan,Venda,Prodaje,Verkäufe
reports_sales_amount,Sales amount,Umsatz,Sales amount,Monto de ventas,Sales amount,Somme de ventes,總銷售額,сумма продаж,จำนวนขาย,Satış tutarı,Jumlah Penjualan,Montante de venda,Prodajna količina,Umsatz
reports_sales_summary_report,Sales Summary Report,Bericht: Umsatz (summarisch),Overzicht Verkoop,Reporte de Resumen de Ventas,Sales Summary Report,Rapport: Résumé des Ventes,銷售摘要報告,Продажи Сводный отчет,รายงานสรุปการขาย,Satış Özet Raporu,Laporan Ringkasan Penjualan,Relatório Resumo de Vendas,Zbrojni izvještaj o prodaji,Bericht: Umsatz (summarisch)
reports_serial_number,Serial #,Seriennummer,Nummer,S/N:,Serial #,# Série,序號 #,серийный номер,Serial #,Seri No,Serial #,Serial nº,Ser. broj,Seriennummer
reports_sold_by,Eladó,Verkauft durch,Werknemer,Vendido Por,Sold By,Vendu par,銷售人,Продавал через,ขายโดย,Satışı Yapan,Dijual Oleh,Vendido por,Prodaje,Verkauft durch
reports_sold_to,Eladva,Verkauft an,Klant,Vendido A,Sold To,Vendu à,購買人,Продано к,ขายไปที่,Satış Yapılan,Dijual Kepada,Vendido para,Prodano,Verkauft an
reports_stock_location,Raktár hely,Lagerort,Stock Locatie,Ubicación de Inventario,Stock Location,,,,,Stok Yeri,Lokasi Stock,Localização do Estoque,Mjesto skladišta,Lagerort
reports_subtotal,Részösszeg,Zwischensumme,Subtotaal,Subtotal,Subtotal,Sous-total,小計,Промежуточная сумма,ยอดรวมรอง,Ara Toplam,SubTotal,Sub total,Međuzbroj,Zwischensumme
reports_summary_reports,Summary Reports,Berichte (summarisch),Overzicht Rapporten,Reportes Resumidos,Summary Reports,Rapports de Résumés,摘要報表,Сводные отчеты,สรุปรายงาน,Özet Raporları,Ringkasan Laporan,Relatório Resumido,Zbrojni izvještaj,Berichte (summarisch)
reports_supplied_by,Supplied by,Geliefert von,Geleverd door,Provisto por,Supplied by,Fournit par,付款人,Поставлял за,ผบิตโดย,Sağlayıcı,Pemasok,Fornecido por,Nabavljeno od,Geliefert von
reports_supplier,Beszállító,Lieferant,Leverancier,Proveedor,Supplier,Fournisseur,供應商,Поставщик,ผู้ผลิต,Sağlayıcı,Pemasok,Fornecedor,Dobavljač,Lieferant
reports_suppliers,Beszállítók,Lieferanten,Leveranciers,Proveedores,Suppliers,Fournisseurs,供應商,Поставщики,ผู้ผลิต,Sağlayıcılar,Pemasok,Fornecedores,Dobavljači,Lieferanten
reports_suppliers_summary_report,Beszállítók összegző riport,Bericht: Lieferanten (summarisch),Rapport Overzicht Leveranciers,Reporte de Resumen de Proveedores,Suppliers Summary Report,Rapport: Résumé Fournisseurs,供應商摘要報告,Сводный отчет Поставщики,รายงานสรุปผู้ผลิต,Sağlayıcı Özet Raporu,Laporan Ringkasan Pemasok,Relatório Resumido Fornecedor,Zbrojni izvještaj po dobavljačima,Bericht: Lieferanten (summarisch)
reports_tax,Adó,MWSt,VAT,Impuesto,Tax,Taxe,稅額,налог,ภาษี,Vergi,Pajak,Imposto,Porez,MWSt
reports_tax_percent,Adó %,MWSt %,VAT Percentage,Porcentaje de Impuestos,Tax Percent,Pourcentage d'imposition,稅率,процент налога,เปอร์เซ็นภาษี,Vergi Oranı,Persentase Pajak,Percentual de Imposto,% poreza,MWSt %
reports_taxes,Adók,Steuern,Belastingen,Impuestos,Taxes,Taxes,稅額,Налоги,ภาษี,Vergiler,Pajak,Impostos,Porezi,Steuern
reports_taxes_summary_report,Adók összegző riport,Bericht: Steuern (summarisch),Rapport Overzicht Belastingen,Reporte de Resumen de Impuestos,Taxes Summary Report,Rapport: Résumé Taxes,稅金摘要報告,Сводный отчет налоги,รายงานสรุปภาษี,Vergi Özet Raporu,Laporan Ringkasan Pajak,Relatório Resumido de Impostos,Zbrojni izvještaj po porezima,Bericht: Steuern (summarisch)
reports_total,Összesen,Total,Totaal,Total,Total,Total,總計,сумма,ยอดรวม,Toplam,Total,Total,Ukupno,Total
reports_type,Típus,Typ,Type,Tipo,Type,Type,類型,тип,ชนิด,Tür,Tipe,Tipo,Tip,Typ
reports_item_count,Filter Item Count,Filter nach Artikelzahl,Filter Item Count,Filtrar Cantidad de Articulos,Filter Item Count,Filter Item Count,Filter Item Count,Filter Item Count,Filter Item Count,Filter Stok Habis/Belum Habis/Minus,,Filtro por quantidade,Filter broja artikala,Filter nach Artikelzahl
reports_cost_price,Beker. ár,Einstandspreis,Aankoopprijs,Precio de Compra,Cost Price,Prix de Gros,成本價,Оптовая Цена,ราคาทุน,Maliyet Fiyatı,Harga Pokok,Preço de Custo,Nabavna cijena,Einkaufspreis
reports_unit_price,Kisker. ár,Verkaufspreis,Verkoopprijs,Precio de Venta,Retail Price,Prix au Détail,單價,Розничная Цена,ราคาขาย,Satış Fiyatı,Harga Jual,Preço Varejo,Jedinična cijena,Verkaufspreis
reports_sub_total_value,Sub Total,Zwischentotal,Subtotaal,Subtotal,Sub Total,Sous-Total,小計,промежуточный итог,ยอดรวมหักภาษี,Ara Toplam,Sub Total,Sub Total,Iznos međuzbroja,Zwischentotal
reports_total_inventory_value,Total Inventory Value,Total Inventarwert,Totale waarde stock,Valor Total del Inventario,Total Inventory Value,Total Inventory Value,Total Inventory Value,Total Inventory Value,Total Inventory Value,Total Inventory Value,Total Nilai Persediaan,Valor Total Inventário,Ukupan iznos inventure,Total Inventarwert
reports_zero_and_less,Nulla és kevesebb,Null und weniger,Nul en minder,Cero y negativos,Zero and less,Zero and less,Zero and less,Zero and less,Zero and less,Zero and less,Stok habis dan minus,Zero e menor,Nula i manje,Null und weniger
reports_more_than_zero,Több mint nulla,Mehr als Null,Meer dan nul,Mayores a Cero,More than zero,More than zero,More than zero,More than zero,More than zero,More than zero,Stok belum habis,Maior do que zero,Više od nule,Mehr als Null
reports_no_reports_to_display,Nincsenek megjeleníthető termékek,Keine Artikel zum Anzeigen,Er werden geen producten gevonden,No hay artículos que mostrar,No Items to display,Aucun Items à afficher,沒有產品可以顯示,Нет товаров для отображения,ไม่มีสินค้าแสดง,Gösterecek Ürün Yok,Tidak ada item untuk ditampilkan,Sem itens para mostrar,Nema artikla za prikazati,Keine Artikel zum Anzeigen
