label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
employees_one_or_multiple,munkavállaló(k),Mitarbeiter,werknemer(s) verwijderd,empleado(s),employee(s),employé(s),員工,сотрудник(ов),พนักงาน,personel,Karyawan,funcionário(s),Radnik(ci),Mitarbeiter
employees_password,Jelszó,Passwort,Paswoord,Contraseña,Password,Mot de passe,密碼,Пароль,Password,Şifre,Kata Sandi,Senha,Lozinka,Passwort
employees_password_minlength,A jelszónak legalább 8 karakternek kell lennie,Passwort muss mindestens 8 Zeichen lang sein,Paswoord moet minstens 8 characters lang zijn,"La contraseña debe tener, por lo menos, 8 caracteres",Passwords must be at least 8 characters,Le Mot de passe doit etre long d'au moins 8 caractères,密碼需為八個字元以上,Пароль должен быть не менее 8 символов,รหัสผ่านต้องยาวเกิน 8 อักษร,Şifre en az 8 karakter olmalıdır,Kata Sandi minimal 8 huruf/angka,As senhas devem ter pelo menos 8 caracteres,Lozinka mora imati najmanje 8 znakova,Passwort muss mindestens 8 Zeichen lang sein
employees_password_must_match,A jelszó nem egyezik,Passwörter passen nicht überein,Paswoorden komen niet overeen,Las Contraseñas no coinciden,Passwords do not match,Mots de passe non corcordants,密碼與確認密碼不一致,Пароли не совпадают,รหัสผ่านไม่ตรงกัน,Şifreler uyuşmuyor,Kata Sandi tidak cocok,As senhas não correspondem,Lozinka se ne podudara,Passwörter passen nicht überein
employees_password_required,A jelszó kötelező,Passwort ist erforderlich,Paswoord moet ingevuld worden,La Contraseña es requerida,Password is required,Le Mot de passe est requis,請輸入密碼,Пароль обязательно,ต้องกรอกรหัสผ่าน,Şifre zorunlu alandır,Kata Sandi wajib diisi,Senha requerida,Lozinka je potrebna,Passwort ist erforderlich
employees_permission_desc,Válassza ki az alábbi boxokat a hozzáférés megadásához,"Klicken Sie unten, um die jeweiligen Zugangsrechte zu aktivieren",Check the boxes below to grant access to modules,Activa las cajas debajo para permitir el acceso a los módulos,Check the boxes below to grant access to modules,Cochez les cases cis-dessous pour autoriser l'accès aux modules,勾選後授予使用該模組功能,"Отметьте флажками ниже, чтобы предоставить доступ к модулям",Check the boxes below to grant access to modules,Modül yetkisi vermek için kutuları işaretleyin,Tandai kotak di bawah ini untuk memberikan akses ke Modul,Marque as caixas abaixo para conceder acesso aos módulos,Odaberite module za dozvolu,"Klicken Sie unten, um die jeweiligen Zugangsrechte zu aktivieren"
employees_permission_info,Munkavállaló engedélyei,Mitarbeiter Zugangsrechte,Permissions,Permisos y Acceso del Empleado,Permissions,Droits d'Accès Employé,員工權限,Сотрудник разрешениями и правами доступа,Permissions,Personel İzin ve Yetkileri,Hak Akses Karyawan,Permissões de acesso do funcionário,Dozvole,Mitarbeiter Zugangsrechte
employees_repeat_password,Jelszó újra,Wiederhole Passwort,Herhaal Paswoord,Repita Contraseña,Password Again,Re-saisissez le mot de passe,確認密碼,Повторяете пароль,Password Again,Şifre (Tekrar),Ulang Kata Sandi,Confirme a senha,Ponovite lozinku,Wiederhole Passwort
employees_successful_adding,Sikeresen hozzáadott egy új munkavállalót,Hinzufügen erfolgreich,You have successfully added employee,Has agregado el empleado satisfactoriamente,You have successfully added employee,Employé ajouté,新增員工資料成功,Вы успешно добавили сотрудника,เพิ่มข้อมูลพนักงานเรียบร้อยแล้ว,Personel eklendi,Anda telah berhasil menambahkan karyawan,Você adicionou o funcionário com sucesso,Uspješno ste dodali radnika,Hinzufügen erfolgreich
employees_successful_deleted,Sikeresen törölt egy munkavállalót,Löschung erfolgreich,Er werd(en),Has borrado satisfactoriamente a,You have successfully deleted,Suppréssion d'employé réussie,成功刪除員工資料,Вы успешно удалили,ลบข้อมูลสำเร็จ,Silme başarılı,Anda telah berhasil menghapus,Você apagou o funcionário com sucesso,Uspješno ste obrisali radnika,Löschung erfolgreich
employees_successful_updating,Sikeresen módosította a munkavállalót,Änderung erfolgreich,You have successfully updated employee,Has actualizado el empleado satisfactoriamente,You have successfully updated employee,Édition d'employé réussie,成功更新員工資料,Вы успешно обновили сотрудника,ปรับปรุงข้อมูลพนักงานเรียบร้อยแล้ว,Personel güncellendi,Anda telah berhasil memperbarui karyawan,Você atualizou com sucesso o funcionário,Uspješno ste ažurirali radnika,Änderung erfolgreich
employees_update,Munkavállaló módosítása,Mitarbeiter ändern,Update Werknemer,Actualizar Empleado,Update Employee,Éditer Employé,更新員工,Обновлять Сотрудник,แก้ไขข้อมูลพนักงาน,Personeli Güncelle,Ubah Karyawan,Atualizar funcionário,Ažuriraj radnika,Mitarbeiter ändern
employees_username,Felhasználó név,Benutzername,Gebruikersnaam,Usuario,Username,Nom d'utilisateur,帳號,Имя пользователя,Username,Kullandı Adı,Nama Pengguna,Usuário,Korisničko ime,Benutzername
employees_username_minlength,A felhasználó névnek legalább 5 karakternek kell lennie,Benutzername muss mindestens 5 Zeichen lang sein,Gebruikersnaam moet minstens 5 characters lang zijn,"El Usuario debe tener, por lo menos, 5 caracteres",The username must be at least 5 characters,Le Nom d'utilisateur doit etre long d'au moins 5 caractères,帳號必需為五個字元以上,Имя пользователя должна быть не менее 5 символов,ชื่อผู้ใช้งานต้องยาวเกิน 5 อักษร,Kullanıcı Adı en az 5 karakter olmalıdır,Nama Pengguna minimal 5 huruf,O nome de usuário deve ter pelo menos 5 caracteres,Korisničko ime mora imati najmanje 5 znakova,Benutzername muss mindestens 5 Zeichen lang sein
employees_username_required,Felhasználó név kötelező,Benutzername ist erforderlich,Gebruikersnaam moet ingevuld worden,Usuario es requerido,Username is a required field,Le Nom d'utilisateur est requis,帳號為必填,Имя пользователи обязательный пробел,จำเป็นต้องกรอกชื่อผู้ใช้งาน,Kullanıcı Adı zorunlu alandır,Nama Pengguna wajib diisi,Nome de Usuário é um campo obrigatório,Korisničko ime je potrebno,Benutzername ist erforderlich
employees_subpermission_required,Engedélyezzen legalább egyet minden modulhoz,Fügen Sie mindestens ein Zugangsrecht pro Modul hinzu,Selecteer minstens één permissie voor elke module,Agregar al menos un permiso para cada modulo.,Add at least one grant for each module,Add at least one grant for each module,Add at least one grant for each module,Add at least one grant for each module,Add at least one grant for each module,Add at least one grant for each module,Add at least one grant for each module,Adicione pelo menos um privilégio para cada módulo,Odaberite barem jednu dozvolu po modulu,Fügen Sie mindestens ein Zugangsrecht pro Modul hinzu
