label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
giftcards_confirm_bulk_edit,"Biztos, hogy mindegyik kiválasztott utalványt módositja?",Wollen Sie alle gewählten Gutscheine ändern?,Bent u zeker dat u de geselecteerde cadeaubons wil aanpassen?,¿Seguro(a) de querer editar las tarjetas de regalo seleccionadas?,Are you sure you want to edit all the giftcards selected?,Etes vous sûr(e) de vouloir éditer toutes les cartes sélectionnés?,您確定您要編輯的所有選擇的禮金券嗎？,"Вы уверены, что хотите редактировать все выбранные Подарочные карты?",,Are you sure you want to edit all the giftcards selected?,Apakah Anda yakin ingin merubah semua GiftCard yang dipilih?,Tem certeza de que deseja editar todas os cartões de presente selecionados?,Jeste li sigurni da želite grupno urediti sve odabrane poklon bonove?,Wollen Sie alle gewählten Gutscheine ändern?
giftcards_confirm_delete,"Biztos, hogy törli a kiválasztott utalványokat?",Wollen Sie alle gewählten Gutscheine löschen?,Bent u zeker dat u de geselecteerde cadeaubons wil verwijderen?,¿Seguro(a) de querer eliminar las tarjetas de regalo seleccionadas?,Are you sure you want to delete the selected giftcards?,Etes vous sûr(e) de vouloir supprimer ces cates?,你確定你要刪除選定的禮金券?,"Вы уверены, что хотите удалить выбранную Подарочные карты?",Are you sure you want to delete the selected giftcards?,Are you sure you want to delete the selected giftcards?,Apakah anda yakin ingin menghapus GiftCard yang dipilih?,Tem certeza de que deseja excluir os cartões de presente selecionados?,Jeste li sigurni da želite obrisati sve odabrane poklon bonove?,Wollen Sie alle gewählten Gutscheine löschen?
giftcards_cost_price,Költség,Einstandspreis,Aankoopprijs,Precio de Costo,Cost Price,Cout,成本價格,Оптовая Цена,ต้นทุน,Cost Price,Harga Pokok,Preço de custo,Nabavna cijena,Einkaufspreis
giftcards_count,Leltár módositása,Bestandsänderung,Update Stock,Actualizar Inventario,Update Inventory,Mise à Jour Inventaire,更新庫存,Обновление перечня,Update Inventory,Update Inventory,Mutasi/Penyesuaian Inventori,Atualiza inventário,Ažuriraj inventuru,Bestandsänderung
giftcards_current_quantity,Jelenlegi mennyiség,Aktuelle Menge,Huidige hoeveelheid,Cantidad Actual,Current Quantity,Quantité Restante,當前數量,Токовые,Current Quantity,Current Quantity,Jumlah saat ini,Quantidade atual,Trenutna količina,Aktuelle Menge
giftcards_description,Leirás,Bezeichnung,Omschrijving,Descripción,Description,Description,描述,Описание,Description,Description,Deskripsi,Descrição,Opis,Bezeichnung
giftcards_details_count,Leltár információk,Bestandsdetails,Stockgegevens,Detalles del Levantamiento de Inventario,Inventory Count Details,Détails d'inventaire,庫存盤點詳情,Подробная инвентаризация,Inventory Count Details,Inventory Count Details,Jumlah Detail Inventori,Detalhes contagem de inventário,Detalji brojanja inventure,Bestandsdetails
giftcards_do_nothing,Ne tegyen semmit,Tue nichts,Doe niets,No hacer nada,Do Nothing,Ne rien faire,不做任何修改,Ничего не делать,,Do Nothing,Tidak ada Perubahan,Fazer nada,Ne radi ništa,Tue nichts
giftcards_edit_fields_you_want_to_update,Edit the fields you want to edit for ALL selected giftcards,Wollen Sie die Felder für ALLE gewählten Gutscheine ändern?,Bewerk de velden die u wil aanpassen voor ALLE geselecteerde cadeaubons,Edita los campos que quieras actualizar en TODAS las tarjetas de regalo seleccionadas,Edit the fields you want to edit for ALL selected giftcards,Modifier les chaps que vous voulez éditer pour TOUTES les cartes,編輯所有選定的禮金券中你想要編輯的資料,Отредактируйте поля вы хотите изменить для всех выбранных Подарочные карты,,Edit the fields you want to edit for ALL selected giftcards,Ubah bagian yang ingin Anda edit untuk SEMUA GiftCard yang dipilih,Editar os campos que deseja editar para TODOS cartões de presente selecionados,Uredi polja za sve odabrane poklon bonove,Wollen Sie die Felder für ALLE gewählten Gutscheine ändern?
giftcards_edit_multiple_giftcards,Editing Multiple Giftcards,Sammeländerung,Bewerk meedere cadeaubons,Editando Múltiples Tarjetas de Regalo,Editing Multiple Giftcards,Édition Multiple de Cartes,多重編輯,Редактирование нескольких Подарочные карты,แก้ไขบัตรกำนัลหลายใบ,Editing Multiple Giftcards,Ubah beberapa GiftCard,Editar vários cartões de presente,Uređivanje više poklon bonova,Sammeländerung
giftcards_error_adding_updating,Utalvány hozzáadása/módositása sikertelen,Fehler beim Hinzufügen/Ändern,Fout bij het bewaren van cadeaubons,Error agregando/actualizando tarjeta de regalo,Error adding/updating giftcard,Érreur d'ajout/édition de cartes,新增/更新禮金券錯誤,Ошибка при добавлении/обновлении подарочную карту,Error adding/updating giftcard,Error adding/updating giftcard,Kesalahan ketika menambahkan/memperbaharui GiftCard,Erro ao adicionar/atualizar cartões de presente,Greška kod dodavanja/ažuriranja poklon bona,Fehler beim Hinzufügen/Ändern
giftcards_error_updating_multiple,Utalvány módositása sikertelen,Fehler beim Ändern,Fout bij het bewaren van cadeaubons,Error actualizando tarjetas de regalo,Error updating giftcards,Érreur lors de l'édition des cartes,禮金券更新錯誤,Ошибка при обновлении Подарочные карты,Error updating giftcards,Error updating giftcards,Kesalahan memperbarui GiftCard,Erro ao atualizar cartões de presente,Greška kod ažuriranja poklon bona,Fehler beim Ändern
giftcards_excel_import_failed,Excel import sikertelen,Excel Import fehlerhaft,Excel import mislukt,Falló la exportación a Hoja de Cálculo,Excel import failed,Échec de l'import,Excel匯入失敗,Ошибка импорта Excel,Excel import failed,Excel import failed,Impor dari Excel import tidak berhasil,importação Excel falhou,Greška kod Excel uvoza,Excel Import fehlerhaft
giftcards_generate_barcodes,Vonalkód generálás,Generiere Barcodes,Genereer Barcodes,Generar Códigos de Barras,Generate Barcodes,Générer des Codes-barre,產生條碼,Создание штрих-кодов,Generate Barcodes,Generate Barcodes,Buat Barcode,Gerar códigos de barras,Generiraj barkod,Generiere Barcodes
giftcards_giftcard,Uttalvány,Gutschein,Cadeaubon,Tarjeta de Regalo,Giftcard,Carte Cadeau,禮金券,Подарочная карта,บัตรกำนัล,Giftcard,GiftCard,Cartão Presente,Poklon bon,Gutschein
giftcards_giftcard_number,Utalvány sorszáma,Gutschein-Nr.,Cadeaubon Nummer,Número de Tarjeta de Regalo,Giftcard Number,Numéro de Carte,禮金券編號,Номер Подарочную карту,เลขบัตรกำนัล,Giftcard Number,Nomor GiftCard,Número cartão de presente,Broj poklon bona,Gutschein-Nr.
giftcards_info_provided_by,Info provided by,Info provided by,Info afgeleverd door,Info provista por,Info provided by,Information fournie par,提供信息的來源,Информация предоставлена,Info provided by,Info provided by,Informasi disediakan oleh,Informação fornecida pela,Info daje,Info provided by
giftcards_inventory_comments,Megjegyzések,Kommentare,Commentaar,Comentarios,Comments,Commentaires,評論,Комментарии,Comments,Comments,Keterangan,Comentários,KomentariMegjegyzések,Kommentare
giftcards_is_serialized,Utalványnak van sorozatszáma,Gutschein hat Seriennummer,Optelbaar,La Tarjeta de Regalo tiene Número de Serie,Giftcard has Serial Number,Carte cadeau avec Numéro de Série,禮金券序號,Подарочная карта имеет серийный номер,Giftcard has Serial Number,Giftcard has Serial Number,GiftCard Memiliki Nomor Serial,cartões de presente tem o número de série,Poklon bon ima serijski broj,Gutschein hat Seriennummer
giftcards_low_inventory_giftcards,Alacsony utalvány készl.,Gutscheine mit Minderbestand,Cadeaubons niet in stock,Tarjetas con Bajo Inventario,Low Inventory Giftcards,Cartes Stock Faible,禮金券庫存過低,Низкий Подарочные карты инвентаризации,Low Inventory Giftcards,Low Inventory Giftcards,GiftCard Inventori Rendah,cartões de presente com estoques baixos,Poklon bon rasprodaje,Gutscheine mit Minderbestand
giftcards_manually_editing_of_quantity,Mennyiség kézi módositása,Manuelle Bestandesänderung,Manuele aanpassing hoeveelheid,Edición Manual de Cantidad,Manual Edit of Quantity,Modification Manuelle de Quantité,手動編輯數量,Руководство Изменить количество,Manual Edit of Quantity,Manual Edit of Quantity,Perubahan jumlah Stok secara manual,Editar manualmente a quantidade,Ručna promjena količine,Manuelle Bestandesänderung
giftcards_must_select_giftcard_for_barcode,Legalább egy utalványt ki kell választania a vonalkód generálásához,"Sie müssen einen Gutschein wählen, um Barcodes zu generieren",U moet tenminste 1 cadeuabon selecteren om een barcode te genereren,Debes seleccionar por lo menos 1 tarjeta para generar códigos de barras,You must select at least 1 giftcard to generate barcodes,Vous devez sélectionner au moins une carte pour générer des codes-barre,您必須選擇至少一個禮金券才能生成條形碼,Вы должны выбрать хотя бы 1 подарочная карта для создания штрих-кодов,You must select at least 1 giftcard to generate barcodes,You must select at least 1 giftcard to generate barcodes,Anda harus memilih minimal 1 GiftCard untuk membuat Barcode,Você deve selecionar pelo menos um cartão de presente para gerar códigos de barras,Morate odabrati bar jedan poklon bon da generirate barkod,"Sie müssen einen Gutschein wählen, um Barcodes zu generieren"
giftcards_new,Új utalvány,Neuer Gutschein,N. Cadeaubon,Nueva Tarjeta de Regalo,New Giftcard,Nouvelle Carte,新建禮金券,Новая Подарочная карта,เพิ่มบัตรกำนัล,New Giftcard,GiftCard Baru,Novo cartão de presente,Novi poklon bon,Neuer Gutschein
giftcards_no_description_giftcards,Utalvány leir. nélk.,Gutscheine ohne Beschreibung,Cadeaubons zonder omschrijving,Tarjetas de Regalo sin Descripción,No Description Giftcards,Cartes Sans Description,沒有描述的禮金券,Нет Описание Подарочные карты,No Description Giftcards,No Description Giftcards,Tidak ada Deskripsi Gift Card,Cartão de presente sem descrição,Poklon bon nema opisa,Gutscheine ohne Beschreibung
giftcards_no_giftcards_to_display,Nincsenek megjelenithető utalványok,Keine Gutscheine zum Anzeigen,Er werden geen cadeaubons gevonden,No hay Tarjetas de Regalo,No Giftcards to display,Aucune carte à afficher,沒有禮金券可以顯示,Нет Подарочные карты для отображения,No Giftcards to display,No Giftcards to display,Tidak ada GiftCard yang ditampilkan,Sem cartões de presente para exibir,Nema poklon bona za prikaz,Keine Gutscheine zum Anzeigen
giftcards_none,Nincs,Nichts,Geen,Ninguno(a),None,Aucun,無,Ни один,,None,Tidak Ada,Nenhum,Ništa,Nichts
giftcards_none_selected,Nem választott ki utalványt a módositáshoz,Sie haben keine Gutscheine zum Ändern gewählt,U hebt geen cadeaubons geselecteerd,No has seleccionado tarjetas de regalo para editar,You have not selected any giftcards to edit,Vous n'avez sélectionné aucune carte à éditer,您還沒有選擇任何禮金券進行編輯,Вы не выбрали ни Подарочные карты для редактирования,You have not selected any giftcards to edit,You have not selected any giftcards to edit,Anda belum memilih GiftCard untuk diubah,Você não selecionou nenhum cartão de presente para editar,Niste odabrali nijedan poklon bon za ispravak,Sie haben keine Gutscheine zum Ändern gewählt
giftcards_number,Utalvány számának számnak kell lennie,Gutschein-Nr. muss eine Zahl sein,Cadeaubon Nummer moet een getal zijn,Número de Tarjeta de Regalo debe ser un número,Giftcard Number must be a number,Le numéro de la carte doit etre un nombre,禮金券編號需為數字,Номер Подарочную карту должна быть цифрая,เลขบัตรกำนัลต้องเป็นตัวเลขเท่านั้น,Giftcard Number must be a number,Nomor GiftCard harus angka,Cartão de presente deve ser um número,Broj poklon bona mora biti broj,Gutschein-Nr. muss eine Zahl sein
giftcards_number_information,Utalvány száma,Gutschein Nummer,Cadeaubon Nummer,Número de Tarjeta de Regalo,Giftcard Number,Numéro de Carte,禮金券編號,Номер Подарочную карту,,Giftcard Number,Nomor GiftCard,Número cartão de presente,Poklon bon broj,Gutschein Nummer
giftcards_number_required,Utalvány száma kötelező mező,Gutschein Nummer muss eine Zahl sein,Cadeaubon Nummer is een verplicht veld,Número de Tarjeta de Regalo es requerido,Giftcard Number is a required field,Le Numéro est requis,請輸入禮金券編號,Номер Подарочную карту обязательный пробел,ต้องกรอกเลขบัตรกำนัล,Giftcard Number is a required field,Nomor GiftCard wajib diisi,Número cartão de presente é um campo obrigatório,Broj poklon bona je potreban,Gutschein Nummer muss eine Zahl sein
giftcards_one_or_multiple,utalvány(ok),Gutschein(e),cadeaubon(s) verwijderd,tarjeta(s) de regalo,giftcard(s),carte(s),禮金券,подарочную карту,giftcard(s),giftcard(s),GiftCard,cartão de presente(s),Poklon bon(ovi),Gutschein(e)
giftcards_person_id,Vevő,Kunde,Klant,Cliente,Customer,Client,Customer,Клиент,เจ้าของบัตร,Customer,Nomor Pelanggan,Cliente,Kupac,Kunde
giftcards_quantity,Mennyiség,Menge,In stock,Cantidad,Quantity,Quantité,數量,Количество,ปริมาณ,Quantity,Jumlah,Quantidade,Količina,Menge
giftcards_quantity_required,Mennyiség kötelező mező. Kérem zárja be ( X ) a mégsemhez,Menge ist erforderlich,Hoeveelheid moet ingevuld worden. Druk Sluit ( X ) om te annuleren,"Cantidad es requerido. Por favor, haz click en ( X ) para cancelar",Quantity is a required field. Please Close ( X ) to cancel,La quantité est requise. Veuillez Fermer ( X ) pour annuler,數量是必填字段。請按關閉（X）來取消,"Количество является обязательным полем. Пожалуйста, закройте (X), чтобы отменить",Quantity is a required field. Please Close ( X ) to cancel,Quantity is a required field. Please Close ( X ) to cancel,Jumlah wajib diisi. Silahkan tutup ( X ) untuk batal,"Quantidade é um campo obrigatório. Por favor, feche (X) para cancelar",Količina je potrebna. Molim otkažite (x) za odustajanje,Menge ist erforderlich
giftcards_reorder_level,Újrarend. szint,Mindestbestand,Reorder Level,Cantidad Mínima,Reorder Level,Seuil de Réapprovisionnement,補貨點,минимальный уровень для перезаказ,ยอดขั้นต่ำ,Reorder Level,Level Pesan Ulang,Nível de reabastecimento,Poredaj razine,Mindestbestand
giftcards_retrive_giftcard_info,Utalvány visszaváltási infó,Gutschein Information,Haal Info Op,Obtener Info de Tarjeta de Regalo,Retrieve Giftcard Info,Obtenir des détails de la Carte,檢索禮金券訊息,находить и подавать информация Подарочную карту,Retrieve Giftcard Info,Retrieve Giftcard Info,Informasi GiftCard,Recuperar Informações dos cartões de presente,Pozovi info o pklon bonu,Gutschein Information
giftcards_sales_tax_1,Eladási adó,Umsatzsteuer 1,VAT,Impuesto de Venta 1,Sales Tax,Sales Tax,銷售稅額 1,Налог с продаж,Sales Tax,Sales Tax,Pajak Penjualan,Imposto sobre vendas,Prodajni porez 1,Umsatzsteuer 1
giftcards_sales_tax_2,Eladási adó 2,Umsatzsteuer 2,VAT 2,Impuesto de Venta 2,Sales Tax 2,Sales Tax 2,銷售稅額 2,Налог с продаж 2,,Sales Tax 2,Pajak Penjualan,Taxa de imposto 2,Prodajni porez 2,Umsatzsteuer 2
giftcards_serialized_giftcards,Sorszámozott utalványok,Serialisierte Gutscheine,Optelbare cadeaubons,Tarjetas Serializadas,Serialized Giftcards,Cartes Cadeau Serialisés,排序禮金券,Сериализованные Подарочные карты,Serialized Giftcards,Serialized Giftcards,Serial GiftCard,Cartões de presente serializados,Serializiraj poklon bon,Serialisierte Gutscheine
giftcards_successful_adding,Sikeresen hozzáadott utalványt,Hinzufügen erfolgreich,Cadeaubon succesvol toegevoegd,Has agregado satisfactoriamente una tarjeta de regalo,You have successfully added giftcard,Vous avez ajouté une carte cadeau bonus,新增禮金券成功,Вы успешно добавили подарочную карту,You have successfully added giftcard,You have successfully added giftcard,GiftCard telah berhasil ditambahkan,Você adicionou com sucesso o cartão de presente,Uspješno ste dodali poklon bon,Hinzufügen erfolgreich
giftcards_successful_bulk_edit,Sikeresen módositotta a kiválasztott utalványt,Sie haben die gewählten Gutscheine erfolgreich geändert,Cadeaubons werden succesvol bewaard,Has actualizado satisfactoriamente las tarjetas de regalo seleccionadas,You have successfully updated the selected giftcards,Les cartes ont étés édités,您已成功更新選定的禮品卡,Вы успешно обновили выбранной Подарочные карты,You have successfully updated the selected giftcards,You have successfully updated the selected giftcards,Anda telah berhasil memperbarui GiftCard yang dipilih,Você atualizou com sucesso os cartões de presente selecionados,Uspješno ste promijenili poklon bonove,Sie haben die gewählten Gutscheine erfolgreich geändert
giftcards_successful_deleted,Sikeres törlés,Löschung erfolgreich,Er werd(en),Has borrado satisfactoriamente,You have successfully deleted,Suppréssion réussie,成功刪除禮金券,Вы успешно удален,You have successfully deleted,You have successfully deleted,GiftCard telah berhasil dihapus,Você excluiu com sucesso,Uspješno ste obrisali poklon bon,Löschung erfolgreich
giftcards_successful_updating,Sikeres utalvány módositás,Änderung erfolgreich,Wijzigingen bewaard voor,Has actualizado satisfactoriamente una tarjeta de regalo,You have successfully updated giftcard,Édition réussie,成功更新禮金券,Вы успешно обновили подарочную карту,You have successfully updated giftcard,You have successfully updated giftcard,GiftCard telah berhasil diperbarui,Você atualizou com sucesso o cartão de presente,Uspješno ste ažurirali poklon bon,Änderung erfolgreich
giftcards_supplier,Szállitó,Lieferant,Leverancier,Proveedor,Supplier,Fournisseur,供應商,Поставщик,Supplier,Supplier,Supplier,fornecedor,Dobavljač,Lieferant
giftcards_tax_1,Adó 1,MWSt 1,VAT,Impuesto 1,Tax 1,Tax 1,稅額 1,Налог 1,Tax 1,Tax 1,Pajak 1,Imposto 1,Porez 1,MWSt 1
giftcards_tax_2,Adó 2,MWSt 2,VAT 2,Impuesto 2,Tax 2,Tax 2,稅額 2,Налог 2,Tax 2,Tax 2,Pajak 2,Imposto 2,Porez 2,MWSt 2
giftcards_tax_percent,Adó %,Prozent,VAT %,Porcentaje de Impuesto,Tax Percent,Taux d'imposition,稅率,процент налога,Tax Percent,Tax Percent,Persen Pajak,por cento de imposto,% poreza,Prozent
giftcards_tax_percents,Adó %-ok,Prozente,VAT Percentages,Porcentaje de Impuesto(s),Tax Percent(s),Pourcentage d'imposition,稅率 Percent(s),процент налога,,Tax Percent(s),Persentase Pajak,Por cento (s) fiscal,%-ci poreza,Prozente
giftcards_unit_price,Egységár,Preis,Verkoopsprijs,Precio Unitario,Unit Price,Prix Unitaire,單位價格,Розничная Цена,ราคาปลีก,Unit Price,Harga Jual,Preço unitário,Jedinična cijena,Preis
giftcards_upc_database,UPC adatbázis,UPC Datenbank,UPC Database,Base de Datos UPC,UPC Database,Base de Données UPC,UPC Database,UPC база данных,,UPC Database,Database UPC,UPC Banco de Dados,UPC tablica,UPC Datenbank
giftcards_update,Utalvány módositás,Gutschein ändern,Bewaar Cadeaubon,Actualizar Tarjeta de Regalo,Update Giftcard,Éditer Carte,更新禮金券,Обновлять Подарочная карта,ปรับข้อมูลบัตรกำนัล,Update Giftcard,Ubah GiftCard,atualização cartão de presente,Ažurirajte poklon bon,Gutschein ändern
giftcards_use_inventory_menu,Leltár menü haszn.,Verwende Lager Menu,Use Inv. Menu,Usar Menú de Inventario,Use Inv. Menu,Utiliser Menu Inv.,使用庫存清單,Используйте меню инвентаря,,Use Inv. Menu,Gunakan Inv. Menu,Usar menu de inventário,Koristite meni inventure,Verwende Lager Menu
giftcards_value,Utalvány értékének számnak kell lennie,Gutschein-Wert muss eine Zahl sein,Cadeaubon Waarde moet een getal zijn,Valor de Tarjeta de Regalo debe ser un número,Giftcard Value must be a number,La valeur de la carte doit etre un nombre,禮金券金額需為數字,стоимость Подарочную карту должна быть цифрая,มูลค่าบัตรกำนัลต้องเป็นตัวเลขเท่านั้น,Giftcard Value must be a number,Nilai GiftCard harus angka,Cartão de presente: O valor deve ser um número,Vrijednost poklon bona mora biti broj,Gutschein-Wert muss eine Zahl sein
giftcards_value_required,Utalvány érték kötelező mező,Gutschein-Wert erforderlich,Cadeaubon Waarde is een verplicht veld,Valor de Tarjeta de Regalo es requerido,Giftcard Value is a required field,La Valeur est requise,請輸入禮金券金額,стоимость Подарочную карту обязательный пробел,ต้องกรอกมูลค่าบัตรกำนัล,Giftcard Value is a required field,Nilai GiftCard wajib diisi,Cartão de presente: O valor é um campo obrigatório ,Vrijednost poklon kartice je potrebna,Gutschein-Wert erforderlich
