label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
customers_one_or_multiple,vevő(k),Kunde(n),klant(en) verwijderd,cliente(s),customer(s),client(s),客戶,клиент(ов),ลูกค้า,müşteri,pelanggan,Cliente(s),Kupac(i),Kunde(n)
customers_successful_adding,Sikeresen hozzáadott egy vevőt,Kunde erfolgreich hinzugefügt,Klant succesvol aangemaakt,Has agregado satisfactoriamente el cliente,You have successfully added customer,Vous avez ajouté un nouveau client,成功新增顧客,Вы успешно добавили клиентов,คุณได้ทำการเพิ่มลูกค้าเรียบร้อยแล้ว,Müşteri eklendi,Anda telah berhasil menambah pelanggan,Você adicionou o cliente com sucesso,Uspješno ste dodali kupca,Kunde erfolgreich hinzugefügt
customers_successful_deleted,Sikeres törlés.,Löschung erfolgreich,Er werd(en),Has borrado satisfactoriamente a,You have successfully deleted,Suppréssion réussie,成功刪除,Вы успешно удалили,คุณได้ทำการลบข้อมูลเรียบร้อยแล้ว,Silme başarılı,Anda telah berhasil menghapus pelanggan,Você excluiu com sucesso,Kupac je uspješno obrisan,Löschung erfolgreich
customers_successful_updating,Sikeresen módosította a vevőt,Änderung erfolgreich,Wijzigingen klantgegevens bewaard voor ,No se ha podido agregar el cliente,You have successfully updated customer,Édition client réussie,成功更新顧客,Вы успешно обновили клиент,คุณได้ทำการแก้ไขข้อมูลลูกค้าเรียบร้อยแล้ว,Müşteri güncellendi,Anda telah berhasil memperbarui pelanggan,Você atualizou o cliente com secesso,Podaci o kupcu su uspješno ažurirani,Änderung erfolgreich
customers_taxable,Adóköteles,Steuerpflichtig,Belastbaar,Gravable,Taxable,Imposable,應課稅,облагаемый,ต้องเสียภาษี,Vergilendirilebilir,Dapat dikenakan pajak,Tributável,Oporezivo,Steuerpflichtig
customers_total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
customers_update,Vevő módosítása,Kunde ändern,Bewerk Klant,Actualizar Cliente,Update Customer,Éditer Client,更新客戶,Обновлять Клиент,แก้ไขข้อมูลลูกค้า,Müşteri Güncelle,Ubah Pelanggan,Atualizar Cliente,Ažuriraj kupca,Kunde ändern
customers_import_items_excel,Vevők importálása Excelből,Importiere Kunden via Excel,Import customers from Excel sheet,Importar Clientes desde Excel,Import customers from Excel sheet,Import customers from Excel sheet,Import customers from Excel sheet,Import customers from Excel sheet,Import customers from Excel sheet,Import customers from Excel sheet,Import customers from Excel sheet,Importar clientes com planilha do Excel,Učitaj kupce iz excel datoteke,Importiere Kunden via Excel
customers_excel_import_failed,Excel import sikertelen,Excel Import fehlerhaft,Excel import mislukt,Falló la importación de Hoja de Cálculo,Excel import failed,Echec Import d'Excel,Excel匯入失敗,Ошибка импорта Excel,นำเข้าข้อมูล Excel ล้มเหลว,Excel aktarım hatası,Impor dari Excel tidak berhasil dilakukan,Importação do Excel falhou,Greška kod uvoza iz Excel-a,Excel Import fehlerhaft
customers_excel_import_nodata_wrongformat,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,El archivo subido no tiene informacion o el formato es incorrecto,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,Your uploaded file has no data or wrong format,Seu arquivo enviado não contém dados ou formato errado,Your uploaded file has no data or wrong format,Die hochgeladene Datei ist leer oder hat ein falsches Format
customers_excel_import_success,Import of Customers successful,Import of Customers successful,Import of Customers successful,Importacion de Clientes exitosa,Import of Customers successful,Import of Customers successful,Import of Customers successful,Import of Customers successful,Import of Customers successful,Import of Customers successful,Import of Customers successful,Importação de clientes com sucesso,Import of Customers successful,Kundenimport erfolgreich
customers_excel_import_partially_failed,"Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","La mayoria de los clientes se importaron pero algunos no, aquí la lista","Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","Most Customers imported. But some were not, here is the list","A maioria dos clientes importado. Mas alguns não eram, aqui está a lista","Most Customers imported. But some were not, here is the list","Die meisten Kunden wurden importiert. Manche wurden nicht importiert, hier ist die Liste"
