label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
receivings_date_type,Dátum mező kötelező,Datum ist erforderlich,Datum is vereist,Campo Fecha es requerido,Date field is required,,,,,,Model Tanggal,Campo de data é obrigatório,Datum je potreban,Datum ist erforderlich
receivings_confirm_delete,"Biztos, hogy törli az átvételt? Nem lehet visszavonni!",Wollen Sie diesen Eingang wirklich löschen? Rückgängig nicht möglich,Bent u zeker dat u dit order wil verwijderen? Dit kan niet ongedaan gemaakt worden.,¿Seguro(a) que desea borrar este ingreso? Esta acción no se puede deshacer,"Are you sure you want to delete this receiving, this action cannot be undone",,,,,,Konfirmasi Hapus,Tem certeza de que deseja excluir este recebimento esta ação não pode ser desfeita,Želite li obrisati ovu primku? To ne ne može vratiti.,Wollen Sie diesen Eingang wirklich löschen? Rückgängig nicht möglich
receivings_delete_entire_sale,Teljes értékesités törlése,Wareneingang löschen,Verwijder,Borrar venta completa,Delete entire sale,Delete entire sale,Delete entire sale,Delete entire sale,,Delete entire sale,Hapus Semua Penjualan,Apagar toda a venda,Obrisati cijelu prodaju,Wareneingang löschen
receivings_discount,Kedv. %,Rabatt %,Korting %,Descuento %,Disc %,Remise %,折古 %,Скидка %,ส่วนลด %,İndirim %,Diskon %,Desc. %,Rabat %,Rabatt %
receivings_edit,Szerkeszt,Ändern,Bewerk,Editar,Edit,Éditer,編輯,редактировать,แก้ไข,Düzenle,Ubah,Editar,Urediti,Ändern
receivings_edit_sale,Átvétel szerk.,Wareneingang ändern,Bewerk,Editar Recepción,Edit Receiving,Edit Receiving,Edit Receiving,Edit Receiving,Edit Receiving,Edit Receiving,Ubah Penerimaan,Editar Recebimento,Uređivanje primke,Wareneingang ändern
receivings_employee,Dolgozó,Mitarbeiter,Werknemer,Empleado,Employee,Employee,Employee,Employee,Employee,Employee,Karyawan,Funcionário,Radnik,Mitarbeiter
receivings_error_editing_item,Termék módositás sikertelen,Fehler beim Ändern des Artikels,Fout tijdens updaten product,Error al editar artículo,Error editing item,Erreur d'édition,產品編輯錯誤,Ошибка редактирования товар,แก้ไขสินค้าล้มเหลว,Ürün düzenleme hatası,Pengubahan Item Salah,Erro editando item,Greška kod uređenja stavke,Fehler beim Ändern des Artikels
receivings_error_requisition,Nem sikerült a készlet mozgatása ugyan arra a raktárhelyre,Kann Bestand nicht von oder zum gleichen Lagerort ändern,Kon de stock transfer niet vervolledigen,No se puede mover el inventorio desde y hacia la misma ubicación de stock,Unable to move inventory from and to the same stock location,,,,,Ürün aynı yere taşınamaz,Kesalahan Daftar Permintaan,Não é possível mover o inventário de e para o mesmo local da,Nije moguće micati inventuru iz i na skaldište,Kann Bestand nicht von oder zum gleichen Lagerort ändern
receivings_find_or_scan_item,Termék keresése/scan,Finde/Scanne Artikel,Zoek/Scan Product,Encontrar/Escanear Artículo,Find/Scan Item,Chercher/Scanner Élément,查找 / 掃描產品,Найти/Сканировать товар,ค้นหาสินค้า,Ürün Bul/Oku,Cari/Scan Item,Localizar Item,Traži/skeniraj artikal,Finde/Scanne Artikel
receivings_find_or_scan_item_or_receipt,Termék keresése/scan,Finde/Scanne Artikel oder Quittung,Zoek/Scan Product OF Tickets,Encontrar/Escanear Artículo o Entrada,Find/Scan Item OR Receipt,Chercher Elément OU Recu,查找 / 掃描產品或收據,Найти/Сканировать товар ИЛИ квитанция,ค้นหาสินค้าหรือบิล,Ürün yada Fatura Bul/Oku,Cari/Scan Item ATAU Faktur,Produto no Estoque,Traži/skeniraj artikal ili račun,Finde/Scanne Artikel oder Quittung
receivings_id,Átvételi ID,Eingangs-Nr.,Ordernummer,ID de Entrada,Receiving ID,ID Arrivage,進貨編號,получение ID,รายการสินค้าเข้า ID,Alım No,ID Penerimaan,Recebimento ID,Primka br.,Eingangs-Nr.
receivings_reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Referência,Reference,Reference
receivings_item_name,Termék neve,Artikelname,Productnaam,Nombre del Artículo,Item Name,Nom d'Élément,產品名稱,Название товара,ชื่อสินคัา,Ürün Adı,Nama Item,Nome do item,Naziv artikla,Artikelname
receivings_mode,Átvétel módja,Eingangsmodus,Order type,Modo de Entradas,Receiving Mode,Receiving Mode,進貨模式,получая режим,ประเภทธุรกรรม,Alım Türü,Jenis Penerimaan,Tipo Recebimento,Ulazni mod,Eingangsmodus
receivings_new_supplier,Új beszállitó,Neuer Lieferant,N. Leverancier,Nuevo Proveedor,New Supplier,Nouveau Fournisseur,新供應商,Новый поставщик,ผู้ผลิตรายใหม่,Yeni Sağlayıcı,Pemasok Baru,Novo Fornecedor,Novi dobavljač,Neuer Lieferant
receivings_one_or_multiple,átvétel(ek),Wareneingäng(e),order(s),Ingreso(s),receiving(s),,,,,,Satu Atau Double,recebimento(s),Primka(e),Wareneingäng(e)
receivings_print_after_sale,Nyomtatás eladás után,Drucke Bon nach Verkauf,Print Ticket,Imprimir recibo después de una venta,Print after sale,Imprimer un recu après vente,出貨時打印收據,Распечатать квитанцию ​​после продажи,พิมพ์บิลหลังการขาย,Satıştan sonra yazdır,Cetak Faktur setelah penjualan,Imprimir ao concluir,Štampaj poslije prodaje,Drucke Bon nach Verkauf
receivings_quantity,Menny.,Menge,Aantal,Cant.,Qty.,Qté.,數量.,Кол-во.,จำนวน.,Adet,Jumlah,Qtde.,Količina,Menge
receivings_receipt,Átvételi nyugta,Eingangsquittung,Ontvangstbewijs,Recibo de Entrada,Receivings Receipt,Recu des Arrivages,收貨憑證,квитанция о получении,บิลสินค้าเข้า,Alım Faturası,Faktur Penerimaan,Recebimentos,Ulazni račun,Eingangsquittung
receivings_receipt_number,Átvételi #,Eingangs-Nr.,Order #,Recepción #,Receiving #,,,,,,No. Faktur Penerimaan,Recebimento nº,Ulazni rč. broj,Eingangs-Nr.
receivings_receiving,Átvétel,Eingang,Inkoop,Recibir,Receive,Receive,收貨,получать,รับสินค้า,Alım,Barang Masuk,Receber,Primka,Eingang
receivings_register,Termék átvétel,Wareneingang,Orders,Entrada de Artículos,Items Receiving,Items Receiving,產品進貨,Получение товаров,รับสินค้า,Ürün Alımları,Penerimaan Barang Masuk,Itens Recebimento,Stavke primke,Wareneingang
receivings_requisition,Átadás,Bedarf,Transfer,Requisición,Requisition,,,,เบิกสินค้า,Talepler,Mutasi Antar Gudang,Requisição,Međusklad.,Bedarf
receivings_return,Visszáru,Retoure,Teruggave,Devolver,Return,Return,退貨,возвращать,คืนสินค้า,İade,Retur,Devolução,Povrat,Retoure
receivings_select_supplier,Beszállitó kiválasztása (opcionális),Wählen Sie Lieferanten (optional),Selecteer Leverancier (Optioneel),Seleccionar Proveedor (Opcional),Select Supplier (Optional),Choisir Fournisseur (Facultatif),選擇供應商 (Optional),Выберите поставщика (необязательно),เลือกผู้ผลิต (ทางเลือก),Sağlayıcı Seç (İsteğe Bağlı),Pilih Pemasok (Opsional),Selecionar Fornecedor (Opcional),Odaberi dobavljača (neobavezno),Wählen Sie Lieferanten (optional)
receivings_start_typing_supplier_name,Kezdje gépelni a beszállitó nevét,Lieferantenname eingeben,Typ naam leverancier..,Empieza a escribir el nombre del proveedor...,Start Typing supplier's name...,Commencez à saisir le nom du fournisseur...,開始輸入供應商名稱...,Начните вводить название поставщика...,เริ่มต้นพิมพ์ชื่อผู้ผลิต...,Sağlayıcı Adı...,Ketik nama pemasok ...,Digite o nome do fornecedor...,Počnite upisivati ime dobavljača ...,Lieferantenname eingeben
receivings_stock_destination,Célraktár,Lagerort (Ziel),Stock bestemming,Inventario de Destino,Stock destination,Stock destination,Stock destination,Stock destination,Stock destination,Stok hedefi,Tujuan Stok,Destinação do estoque,Na skladište,Lagerort (Ziel)
receivings_stock_locaiton,Raktár helyszin,Lagerort,Stock locatie,Ubicación de Inventario,Stock location,Stock location,Stock location,Stock location,Stock location,Stok yeri,Lokasi Stok,Localização do estoque,Mjesto skladišta,Lagerort
receivings_stock_source,Raktár forrás,Lagerort (Quelle),Stock bron,Inventario de Origen,Stock source,Stock source,Stock source,Stock source,Stock source,Stok kaynağı,Asal Stok,Fonte do estoque,Iz skladišta,Lagerort (Quelle)
receivings_successfully_deleted,Sikeres törlés,Löschung erfolgreich,Er werd(en),Borro exitosamente,You have successfully deleted,You have successfully deleted,You have successfully deleted,You have successfully deleted,You have successfully deleted,You have successfully deleted,Berhasil Dihapus,Você excluiu com sucesso,Uspješno ste obrisali primku,Löschung erfolgreich
receivings_successfully_updated,Átvétel sikeresen módositva,Änderung erfolgreich,Order werd geupdatet,Recepción exitosamente actualizada,Receiving successfully updated,Receiving successfully updated,Receiving successfully updated,Receiving successfully updated,Receiving successfully updated,Receiving successfully updated,Berhasil Diperbaharui,Recebimento atualizado com sucesso,Uspješno ste ažurirali primku,Änderung erfolgreich
receivings_supplier,Szállitó,Lieferant,Leverancier,Proveedor,Supplier,Fournisseur,供應商,поставщик,ผู้ผลิต,Sağlayıcı,Pemasok,Fornecedor,Dobavljač,Lieferant
receivings_supplier_email,Szállitó e-mail,Lieferant Email,Leverancier Email,Email,Email,Fournisseur Email,Email,Customer Email,Email,Email,Email,e-mail,e-mail,Lieferant Email
receivings_supplier_address,Szállitó cím,Lieferant Address,Leverancier Address,Direccion,Address,Fournisseur Address,Address,Address,Address,Address,Address,Endereço,Adresa,Lieferant Address
receivings_supplier_location,Szállitó hely,Lieferant Location,Leverancier Location,Ubicacion,Location,Fournisseur Location,Location,Location,Location,Location,Location,Localização,Mjesto,Lieferant Location
receivings_total,Összesen,Total,Totaal,Total,Total,Total,總數量,сумма,รวม,Toplam,Total,Total,Ukupno,Total
receivings_unable_to_add_item,Nem sikerült terméket hozzáadni,Kann Artikel nicht zum Eingang hinzufügen,Onmogelijk om product aan order toe te voegen,No se puede agregar el artículo a la entrada,Unable to add item to receiving,Impossible d'ajouter l'item aux arrivages,無法新增進貨資料,Невозможно добавить товар на получение,ไม่สามารถเพิ่มสินค้าได้,Ürünler alıma eklenemedi,Item tidak dapat ditambahkan ke penerimaan barang masuk,Não é possível adicionar item para recebimento,Ne mogu dodati artikal u primku,Kann Artikel nicht zum Eingang hinzufügen
receivings_unsuccessfully_updated,Átvétel sikertelenül módositva,Eingang nicht erfolgreich geändert,Receiving unsuccessfully updated,Recepción actualizada sin exito,Receiving unsuccessfully updated,Receiving unsuccessfully updated,Receiving unsuccessfully updated,Receiving unsuccessfully updated,Receiving unsuccessfully updated,Receiving unsuccessfully updated,Tidak Berhasil Diperbaharui,Recebimento não atualizado,Neuspješno ažurirana primka,Eingang nicht erfolgreich geändert
receivings_update,Módosít,Ändern,Bewerk,Editar,Update,Éditer,編輯,редактировать,แก้ไข,Düzenle,Ubah,Atualizar,Ažuriraj,Änd
